"id","Value"
"304","画期的"
"305","一層"
"306","高め"
"307","ピッタリ"
"308","芳醇"
"309","複数"
"310","上質"
"311","長期"
"312","熟成"
"313","上品"
"314","飲む前"
"315","香り高さ"
"316","深さ"
"317","印象的"
"318","美味しい"
"319","価格相応"
"320","満足"
"321","外食店"
"322","愛された"
"323","お金"
"324","価値"
"325","一杯"
"326","好相性"
"327","味付け"
"328","ラーメン"
"329","濃いめ"
"330","つまみ"
"331","ペアリング"
"332","黒糖"
"333","甘さ"
"334","深煎り"
"335","カラメル風味"
"336","干し葡萄"
"337","ニュアンス"
"338","ロースト麦芽"
"339","重厚"
"340","香ばしい苦味"
"341","とろり"
"342","舌"
"343","苦味まろやか"
"344","海外"
"345","スタウト"
"346","ギネス"
"347","きつくない"
"348","甘苦さ"
"349","渋み"
"350","個性的"
"351","醤油っぽい"
"352","鼻"
"353","醤油"
"354","フレーバー"
"355","入門編"
"356","オススメ"
"357","甘め"
"358","入口"
"359","愛飲"
"360","のどごし"
"361","南国"
"362","沖縄"
"363","第一印象"
"364","暑い日"
"365","すっきり感"
"366","最高"
"367","必要十分"
"368","おいしさ"
"369","褒め言葉"
"370","苦味控えめ"
"371","ビール苦手"
"372","オリオン"
"373","ゴーヤチャンプルー"
"374","沖縄料理"
"375","マイルドさ"
"376","評価ポイント"
"377","愛される"
"378","一気飲み"
"379","暑い沖縄"
"380","南国気分"
"381","感動"
"382","現地"
"383","リゾート気分"
"384","親しまれる"
"385","フルーティー"
"386","沖縄県産小麦"
"387","ホワイトエール"
"388","バナナ"
"389","酵母香"
"390","フルーティーさ"
"391","オレンジピール"
"392","コリアンダー"
"393","小麦麦芽"
"394","柔らか"
"395","舌触り"
"396","酸味"
"397","甘酸っぱい"
"398","スパイシー"
"399","暑い季節"
"400","アクセント"
"401","コリアンダーシード"
"402","仄か"
"403","スパイシーさ"
"404","ピリッとした"
"405","奥行き"
"406","要素"
"407","ヴァイツェン"
"408","甘濃い"
"409","あっさりめ"
"410","小麦感"
"411","ジュース"
"412","飲める"
"413","食前酒"
"414","爽やかさ"
"415","世界"
"416","ピルスナー"
"417","適度"
"418","ザーツホップ"
"419","程よい"
"420","元祖"
"421","モルト香"
"422","麦芽"
"423","パン"
"424","良い"
"425","たまらない"
"426","飲み終わり"
"427","クリーン"
"428","憧れ"
"429","すべて"
"430","伝説"
"431","特別"
"432","存在"
"433","実際"
"434","チェコ"
"435","本場"
"436","熱い"
"437","レモン"
"438","炭酸"
"439","人気"
"440","弱すぎず"
"441","ちょうど良い"
"442","ふきのとう"
"443","最後"
"444","キュッと"
"445","評"
"446","ラガー"
"447","癖"
"448","無い"
"449","こぢんまり"
"450","うまく"
"451","まとまっている"
"452","安心感"
"453","スッと"
"454","副原料"
"455","トウモロコシ"
"456","ちゃんと"
"457","イタリア"
"458","プレミアムビール"
"459","スタイリッシュ"
"460","一緒"
"461","絵"
"462","イタリアン"
"463","やっぱり"
"464","ペローニ"
"465","食卓"
"466","両立"
"467","まったり"
"468","甘い"
"469","共存"
"470","日本"
"471","原点"
"472","存在感"
"473","まとめ"
"474","欧州"
"475","重さ"
"476","ボトルデザイン"
"477","アイコニック"
"478","スウィングトップ瓶"
"479","消費者"
"480","瓶"
"481","おしゃれ"
"482","カッコいい"
"483","インテリア"
"484","見た目"
"485","糖質"
"486","ゼロ"
"487","ダイエット中"
"488","健康志向"
"489","罪悪感"
"490","ほとんど"
"491","毎日"
"492","飽きない"
"493","宅飲み"
"494","分"
"495","代替"
"496","割り切って"
"497","機能重視"
"498","捉え方"
"499","プリン体"
"500","カロリー"
"501","低め"
"502","健康的"
"503","気遣う"
"504","機能系"
"505","発泡酒"
"506","ポジション"
"507","確立"
"508","糖質ゼロ"
"509","ビール類"
"510","初"
"511","生ビール感"
"512","喜び"
"513","スタイルフリー"
"514","フルオープン缶"
"515","嬉しい"
"516","基本"
"517","ビール感"
"518","弱い"
"519","おかげ"
"520","泡効果"
"521","機能"
"522","両得"
"523","健康"
"524","配慮"
"525","生ビール気分"
"526","革命的"
"527","人工甘味料"
"528","着色料"
"529","最強"
"530","クラス"
"531","パーフェクト"
"532","機能性"
"533","健康志向層"
"534","企業努力"
"535","アルコール"
"536","酔える"
"537","度数"
"538","少量"
"539","ほろ酔い感"
"540","美味しさ"
"541","総合的"
"542","日常使い"
"543","究極"
"544","超ライト"
"545","低い"
"546","酔いにくさ"
"547","最少級"
"548","気遣い"
"549","ない"
"550","スイスイ"
"551","ビールらしさ"
"552","しない"
"553","おとなしい"
"554","やや"
"555","かなり"
"556","ビール好き"
"557","さすが"
"558","正直"
"559","指摘"
"560","罪悪感ゼロ"
"561","総合"
"562","安心"
"563","健康機能"
"564","ヘビーユーザー"
"565","トマト"
"566","トマトジュース"
"567","ビアカクテル"
"568","前面"
"569","野菜ジュース"
"570","感覚"
"571","薄め"
"572","さわやか"
"573","朝"
"574","氷"
"575","酒"
"576","ブランチ"
"577","サラリ"
"578","嫌い"
"579","克服"
"580","ドリンク"
"581","位置づけ"
"582","栄養"
"583","女性"
"584","美容"
"585","なし"
"586","楽しめる"
"587","第三のビール"
"588","クリアアサヒ"
"589","生ジョッキ缶版"
"590","CP"
"591","キャンペーンモデル"
"592","細かな"
"593","湧き上がります"
"594","第3のビール"
"595","クリアアサヒ譲り"
"596","ぐいぐい"
"597","比較的"
"598","キレキレ"
"599","求める"
"600","好まれています"
"601","良好"
"602","廉価"
"603","ジョッキ缶"
"604","値段"
"605","お手頃"
"606","味わえる"
"607","普段飲み用"
"608","気軽"
"609","買える"
"610","お得感"
"611","合わせやすい"
"612","強くなく"
"613","優秀"
"614","強くない"
"615","合う"
"616","喧嘩しない"
"617","懐の深さ"
"618","商品名"
"619","水"
"620","幅広く"
"621","喉ごし"
"622","良く"
"623","群を抜く"
"624","安くて"
"625","手頃"
"626","満点"
"627","帰宅後"
"628","350ml"
"629","日課"
"630","レビュー"
"631","尖った"
"632","誰"
"633","オールマイティ"
"634","使用"
"635","一口"
"636","口"
"637","十分"
"638","しつこく"
"639","濃すぎ"
"640","重たく"
"641","場合"
"642","リッチ"
"643","思えない"
"644","張る"
"645","見合う"
"646","日"
"647","選ぶ"
"648","感"
"649","異例"
"650","使用量"
"651","成分"
"652","麦芽エキス"
"653","触れ込み"
"654","処方"
"655","クリアさ"
"656","ゼロ系"
"657","トップクラス"
"658","選択肢"
